"participant_id","speaker_identity","trialid","itemid","itemtype","itemtype_coarser","msg","target","competitor","distractor","targetpos","layout","prob_target","prob_competitor","prob_distr"
1,"adult",18,1,"critical","critical","tr","tr_bl","tr_re","sq_gr",2,"tr_re,tr_bl,sq_gr",85,13,2
2,"child",21,1,"critical","critical","tr","tr_bl","tr_re","sq_gr",2,"tr_re,tr_bl,sq_gr",50,50,0
3,"adult",2,1,"critical","critical","tr","tr_bl","tr_re","sq_gr",3,"sq_gr,tr_re,tr_bl",50,50,0
4,"child",17,1,"critical","critical","tr","tr_bl","tr_re","sq_gr",2,"sq_gr,tr_bl,tr_re",50,50,0
5,"child",23,1,"critical","critical","tr","tr_bl","tr_re","sq_gr",2,"tr_re,tr_bl,sq_gr",75,25,0
6,"child",8,1,"critical","critical","tr","tr_bl","tr_re","sq_gr",2,"sq_gr,tr_bl,tr_re",50,50,0
7,"child",3,1,"critical","critical","tr","tr_bl","tr_re","sq_gr",1,"tr_bl,tr_re,sq_gr",50,50,0
8,"child",2,1,"critical","critical","tr","tr_bl","tr_re","sq_gr",2,"tr_re,tr_bl,sq_gr",47,53,0
9,"adult",1,1,"critical","critical","tr","tr_bl","tr_re","sq_gr",3,"sq_gr,tr_re,tr_bl",100,0,0
10,"child",6,1,"critical","critical","tr","tr_bl","tr_re","sq_gr",1,"tr_bl,tr_re,sq_gr",50,50,0
11,"child",3,1,"critical","critical","tr","tr_bl","tr_re","sq_gr",1,"tr_bl,sq_gr,tr_re",50,50,0
12,"child",21,1,"critical","critical","tr","tr_bl","tr_re","sq_gr",3,"tr_re,sq_gr,tr_bl",49,51,0
13,"child",11,1,"critical","critical","tr","tr_bl","tr_re","sq_gr",2,"tr_re,tr_bl,sq_gr",48,52,0
14,"adult",4,1,"critical","critical","tr","tr_bl","tr_re","sq_gr",3,"tr_re,sq_gr,tr_bl",50,50,0
15,"adult",22,1,"critical","critical","tr","tr_bl","tr_re","sq_gr",1,"tr_bl,sq_gr,tr_re",50,50,0
16,"child",4,1,"critical","critical","tr","tr_bl","tr_re","sq_gr",1,"tr_bl,sq_gr,tr_re",50,50,0
17,"adult",8,1,"critical","critical","tr","tr_bl","tr_re","sq_gr",1,"tr_bl,sq_gr,tr_re",50,50,0
18,"adult",10,1,"critical","critical","tr","tr_bl","tr_re","sq_gr",1,"tr_bl,tr_re,sq_gr",50,50,0
19,"child",9,1,"critical","critical","tr","tr_bl","tr_re","sq_gr",1,"tr_bl,sq_gr,tr_re",50,50,0
20,"child",4,1,"critical","critical","tr","tr_bl","tr_re","sq_gr",1,"tr_bl,tr_re,sq_gr",75,25,0
21,"child",13,1,"critical","critical","tr","tr_bl","tr_re","sq_gr",3,"sq_gr,tr_re,tr_bl",50,50,0
22,"child",1,1,"critical","critical","tr","tr_bl","tr_re","sq_gr",1,"tr_bl,tr_re,sq_gr",50,50,0
23,"adult",8,1,"critical","critical","tr","tr_bl","tr_re","sq_gr",1,"tr_bl,tr_re,sq_gr",50,50,0
